From,To,Label,Direction,Description,Tags,File_Path,File_Extension,Domain
comp_audit_standard,app_teams,APPLIES_POLICY,directed,Audit logging covers Teams activities.,Compliance,,,Compliance
comp_audit_standard,store_exchange,APPLIES_POLICY,directed,Audit logging covers Exchange activities.,Compliance,,,Compliance
comp_audit_standard,store_onedrive,APPLIES_POLICY,directed,Audit logging covers OneDrive activities.,Compliance,,,Compliance
comp_audit_standard,store_sharepoint,APPLIES_POLICY,directed,Audit logging covers SharePoint activities.,Compliance,,,Compliance
comp_dlp_policy,app_copilot,APPLIES_POLICY,directed,DLP policies apply to Copilot responses.,Compliance;DLP,,,Compliance
comp_dlp_policy,app_power_bi,APPLIES_POLICY,directed,DLP policies apply to Power BI.,Compliance;DLP,,,Compliance
comp_dlp_policy,app_teams,APPLIES_POLICY,directed,DLP policies apply to Teams.,Compliance;DLP,,,Compliance
comp_dlp_policy,store_exchange,APPLIES_POLICY,directed,DLP policies apply to Exchange.,Compliance;DLP,,,Compliance
comp_dlp_policy,store_onedrive,APPLIES_POLICY,directed,DLP policies apply to OneDrive.,Compliance;DLP,,,Compliance
comp_dlp_policy,store_sharepoint,APPLIES_POLICY,directed,DLP policies apply to SharePoint.,Compliance;DLP,,,Compliance
comp_info_barriers,app_teams,APPLIES_POLICY,directed,Information Barriers apply to Teams.,Compliance,,,Compliance
comp_info_barriers,store_onedrive,APPLIES_POLICY,directed,Information Barriers apply to OneDrive.,Compliance,,,Compliance
comp_info_barriers,store_sharepoint,APPLIES_POLICY,directed,Information Barriers apply to SharePoint.,Compliance,,,Compliance
comp_retention_policy,app_copilot,APPLIES_POLICY,directed,Retention policies apply to Copilot interactions.,Compliance,,,Compliance
comp_retention_policy,app_loop,APPLIES_POLICY,directed,Retention policies apply to Loop content.,Compliance,,,Compliance
comp_retention_policy,app_teams,APPLIES_POLICY,directed,Retention policies apply to Teams.,Compliance,,,Compliance
comp_retention_policy,app_viva_engage,APPLIES_POLICY,directed,Retention policies apply to Viva Engage.,Compliance,,,Compliance
comp_retention_policy,store_exchange,APPLIES_POLICY,directed,Retention policies apply to Exchange.,Compliance,,,Compliance
comp_retention_policy,store_onedrive,APPLIES_POLICY,directed,Retention policies apply to OneDrive.,Compliance,,,Compliance
comp_retention_policy,store_sharepoint,APPLIES_POLICY,directed,Retention policies apply to SharePoint.,Compliance,,,Compliance
comp_sensitivity_label,app_copilot,APPLIES_POLICY,directed,Sensitivity labels respected by Copilot.,Compliance,,,Compliance
comp_sensitivity_label,app_excel,APPLIES_POLICY,directed,Sensitivity labels apply to Excel files.,Compliance,,,Compliance
comp_sensitivity_label,app_loop,APPLIES_POLICY,directed,Sensitivity labels apply to Loop.,Compliance,,,Compliance
comp_sensitivity_label,app_outlook,APPLIES_POLICY,directed,Sensitivity labels apply to emails.,Compliance,,,Compliance
comp_sensitivity_label,app_power_bi,APPLIES_POLICY,directed,Sensitivity labels apply to Power BI.,Compliance,,,Compliance
comp_sensitivity_label,app_powerpoint,APPLIES_POLICY,directed,Sensitivity labels apply to PowerPoint files.,Compliance,,,Compliance
comp_sensitivity_label,app_teams,APPLIES_POLICY,directed,Sensitivity labels apply to Teams.,Compliance,,,Compliance
comp_sensitivity_label,app_word,APPLIES_POLICY,directed,Sensitivity labels apply to Word docs.,Compliance,,,Compliance
comp_sensitivity_label,id_m365_group,APPLIES_POLICY,directed,Sensitivity labels apply to M365 Groups.,Compliance,,,Compliance
comp_sensitivity_label,store_sharepoint,APPLIES_POLICY,directed,Sensitivity labels apply to SharePoint sites.,Compliance,,,Compliance
store_sharepoint,store_m365_archive,ARCHIVED_IN,directed,Inactive SharePoint sites archived to M365 Archive.,Storage,,,Storage
site_hub,site_communication,ASSOCIATED_WITH,directed,Hub site can associate communication sites.,SharePoint_Online,,,SharePoint
site_hub,site_team,ASSOCIATED_WITH,directed,Hub site can associate team sites.,SharePoint_Online,,,SharePoint
store_exchange,store_m365_backup,BACKED_UP_TO,directed,Exchange backed up via M365 Backup.,Storage,,,Storage
store_onedrive,store_m365_backup,BACKED_UP_TO,directed,OneDrive backed up via M365 Backup.,Storage,,,Storage
store_sharepoint,store_m365_backup,BACKED_UP_TO,directed,SharePoint backed up via M365 Backup.,Storage,,,Storage
store_dataverse,store_azure_cosmos,BACKEND_STORAGE,directed,Dataverse uses Cosmos DB for certain data.,Infrastructure,,,Infrastructure
store_dataverse,store_azure_sql,BACKEND_STORAGE,directed,Dataverse uses Azure SQL as primary backend.,Infrastructure,,,Infrastructure
store_exchange,store_azure_blob,BACKEND_STORAGE,directed,Exchange uses Azure infrastructure.,Infrastructure,,,Infrastructure
store_onedrive,store_azure_blob,BACKEND_STORAGE,directed,OneDrive stores files in Azure Blob Storage.,Infrastructure,,,Infrastructure
store_sharepoint,store_azure_blob,BACKEND_STORAGE,directed,SharePoint stores files in Azure Blob Storage.,Infrastructure,,,Infrastructure
store_teams_service,store_azure_cosmos,BACKEND_STORAGE,directed,Teams Service uses Azure Cosmos DB for messages.,Infrastructure,,,Infrastructure
