NodeID,Name,Label,Description,Tags,Reference_URL,Service_Description_URL,Suite,Context,Multi_Geo,Backend,Requires_License,File_Extension
# ============================================================
# APP SUITES
# ============================================================
suite_m365,Microsoft 365,APP_SUITE,The Microsoft 365 productivity suite.,,,,,,,,
suite_power_platform,Power Platform,APP_SUITE,Low-code platform for apps and automation.,,,,,,,,
suite_viva,Microsoft Viva,APP_SUITE,Employee experience platform.,,,https://learn.microsoft.com/en-gb/office365/servicedescriptions/microsoft-viva-service-description,,,,,
suite_copilot,Microsoft 365 Copilot,APP_SUITE,AI-powered productivity assistant suite.,,https://adoption.microsoft.com/en-gb/copilot/,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-365-platform-service-description/microsoft-365-copilot,,,,,
suite_purview,Microsoft Purview,APP_SUITE,Unified data governance and compliance platform.,,https://learn.microsoft.com/en-us/purview/purview,,,,,,
suite_defender,Microsoft Defender,APP_SUITE,Unified security platform for threat protection.,,,,,,,,
# ============================================================
# APPS — Microsoft 365 Core
# ============================================================
app_teams,Microsoft Teams,APP,"Hub for teamwork — chat, meetings, channels, voice, apps, and files.",Collaboration;Messaging;Meetings;Voice,https://adoption.microsoft.com/en-gb/microsoft-teams/,https://learn.microsoft.com/en-gb/office365/servicedescriptions/teams-service-description,Microsoft 365,,,,,
app_outlook,Outlook,APP,Email and personal information management client.,Messaging,https://support.microsoft.com/en-gb/outlook,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-applications-service-description/office-applications-service-description,Microsoft 365,,,,,
app_word,Word,APP,Document authoring and collaboration application.,,https://support.microsoft.com/en-gb/word,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-applications-service-description/office-applications-service-description,Microsoft 365,,,,,.docx
app_excel,Excel,APP,Spreadsheet application for data analysis and calculation.,,https://support.microsoft.com/en-gb/excel,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-applications-service-description/office-applications-service-description,Microsoft 365,,,,,.xlsx
app_powerpoint,PowerPoint,APP,Presentation application for slideshows and graphics.,,https://support.microsoft.com/en-gb/powerpoint,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-applications-service-description/office-applications-service-description,Microsoft 365,,,,,.pptx
app_onenote,OneNote,APP,Digital notebook for free-form information gathering.,,https://support.microsoft.com/en-gb/onenote,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-applications-service-description/office-applications-service-description,Microsoft 365,,,,,.one
app_loop,Loop,APP,Co-creation app for collaborative workspaces and components.,Collaboration;Real_Time,https://adoption.microsoft.com/en-gb/microsoft-loop/,https://learn.microsoft.com/en-gb/microsoft-365/loop/loop-compliance-summary,Microsoft 365,,,,,.loop;.fluid
app_onedrive,OneDrive,APP,Personal cloud storage with sync and sharing.,Storage,https://adoption.microsoft.com/en-gb/onedrive/,https://learn.microsoft.com/en-gb/office365/servicedescriptions/onedrive-for-business-service-description,Microsoft 365,,,,,
app_sharepoint,SharePoint,APP,Document management and intranet platform.,Storage;Collaboration,https://adoption.microsoft.com/en-gb/sharepoint/,https://learn.microsoft.com/en-gb/office365/servicedescriptions/sharepoint-online-service-description/sharepoint-online-service-description,Microsoft 365,,,,,
app_planner,Planner,APP,Unified work management (Planner + Project for the web + To Do).,Collaboration,https://adoption.microsoft.com/en-gb/microsoft-planner/,https://learn.microsoft.com/en-gb/office365/servicedescriptions/project-online-service-description/microsoft-planner-service-description,Microsoft 365,,,,,
app_forms,Forms,APP,Online survey and quiz application.,,https://support.microsoft.com/en-gb/forms,https://learn.microsoft.com/en-gb/office365/servicedescriptions/microsoft-forms-service-description,Microsoft 365,,,,,
app_lists,Lists,APP,Smart information tracking app for structured data.,Collaboration,https://support.microsoft.com/en-gb/microsoft-lists,,Microsoft 365,,,,,
app_stream,Stream,APP,Video management and sharing in Microsoft 365.,,https://support.microsoft.com/en-gb/stream,,Microsoft 365,,,,,.mp4
app_whiteboard,Whiteboard,APP,Digital canvas for brainstorming and visual collaboration.,Collaboration;Real_Time,https://support.microsoft.com/en-gb/whiteboard,,Microsoft 365,,,,,.whiteboard
app_bookings,Bookings,APP,Web-based appointment scheduling calendar service.,,https://learn.microsoft.com/en-us/microsoft-365/bookings/bookings-overview,https://learn.microsoft.com/en-gb/office365/servicedescriptions/microsoft-bookings-service-description,Microsoft 365,,,,,
app_clipchamp,Clipchamp,APP,Video creation and editing tool.,,https://support.microsoft.com/en-gb/clipchamp,https://learn.microsoft.com/en-gb/office365/servicedescriptions/windows-365-service-description/microsoft-clipchamp-service-description,Microsoft 365,,,,,.mp4
app_designer,Designer,APP,AI-powered graphic design application.,,https://learn.microsoft.com/en-us/designer/overview,,Microsoft 365,,,,,
app_sway,Sway,APP,Interactive presentation and storytelling app.,,https://support.microsoft.com/en-gb/sway,,Microsoft 365,,,,,
app_access,Access,APP,Desktop database application.,,https://support.microsoft.com/en-gb/access,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-applications-service-description/office-applications-service-description,Microsoft 365,,,,,.accdb
app_project,Project for the web,APP,Project management application.,,https://support.microsoft.com/en-gb/project,,Microsoft 365,,,,,
app_todo,Microsoft To Do,APP,Personal task management application.,,https://support.microsoft.com/en-gb/todo,,Microsoft 365,,,,,
app_places,Places,APP,Coordinate with colleagues and book workspaces.,,https://adoption.microsoft.com/en-gb/microsoft-places/,,Microsoft 365,,,,,
app_people,People,APP,Contact management across Microsoft 365.,,,,Microsoft 365,,,,,
app_delve,Delve,APP,People and content discovery (being retired).,,,,Microsoft 365,,,,,
app_m365_groups,Microsoft 365 Groups,APP,Group-based collaboration connecting Teams/SharePoint/Outlook.,,https://support.microsoft.com/en-gb/office/learn-about-groups-in-outlook-b565caa1-5c40-40ef-9915-60fdb2d97fa2,,Microsoft 365,,,,,
app_outlook_newsletters,Outlook Newsletters,APP,Newsletter creation and distribution via Outlook.,,,,Microsoft 365,,,,,
# ============================================================
# APPS — Teams Premium
# ============================================================
app_teams_premium,Microsoft Teams Premium,APP,Premium Teams features powered by AI and LLMs.,AI;Meetings,https://adoption.microsoft.com/en-gb/microsoft-teams-premium/,,Microsoft 365,,,,Microsoft 365 E3 + Teams Premium add-on,
# ============================================================
# APPS — Copilot
# ============================================================
app_copilot,Microsoft 365 Copilot,APP,AI-powered assistant across Microsoft 365 apps.,AI;Copilot,https://adoption.microsoft.com/en-gb/copilot/,https://learn.microsoft.com/en-gb/office365/servicedescriptions/office-365-platform-service-description/microsoft-365-copilot,Microsoft 365 Copilot,,,,Microsoft 365 Copilot,
app_copilot_chat,Microsoft 365 Copilot Chat,APP,Free enterprise AI chat for M365 licensed users.,AI;Copilot,https://adoption.microsoft.com/en-gb/copilot-chat/,,Microsoft 365 Copilot,,,,,
